,elo
Spain,2210.6686881988057
Argentina,2188.670183943446
France,2121.6340931771138
England,2086.9274242550905
Brazil,2067.630321564397
Colombia,2062.7709229868237
Portugal,2031.2812901983373
Ecuador,2026.256241203588
Netherlands,2012.2701509789003
Germany,2007.1986692048845
Japan,1992.9089094138217
Morocco,1984.2280698041266
Mexico,1975.959699115435
Uruguay,1974.0669980847085
Belgium,1971.5029533216348
Croatia,1964.130660091625
Turkey,1962.8533566418184
Switzerland,1960.5886355239606
Norway,1956.6755681874336
Italy,1919.3151951552131
Paraguay,1917.5515408656634
Denmark,1916.1527845665419
Senegal,1913.3818336730221
Australia,1901.3448883006786
Iran,1898.7585849026223
Canada,1894.5171613995199
Austria,1894.4508544493317
Algeria,1883.8492996888185
Nigeria,1881.532130111166
South Korea,1880.626051444943
Yugoslavia,1873.0049674809743
Panama,1847.642859199319
Ukraine,1844.9761767672417
Russia,1843.3817208752869
Scotland,1833.6284483827787
United States,1825.3255780171548
Venezuela,1821.8162293273588
Uzbekistan,1821.2882534372704
Ivory Coast,1814.2348200962674
Egypt,1809.9555128410227
Jersey,1805.3101197384876
Czechoslovakia,1804.7012357782694
Chile,1803.5857539003377
Basque Country,1799.2874666555235
Czech Republic,1796.2397546820605
Serbia,1789.670243338028
Greece,1787.8036723827504
Poland,1777.0099093970798
Jordan,1775.4936049296957
Hungary,1772.2120400817826
Peru,1770.6055400925318
Sweden,1765.1763426781042
DR Congo,1762.464162264
Republic of Ireland,1759.9940665468982
Kosovo,1759.85117299845
Guernsey,1745.644371380458
Costa Rica,1743.0964232886402
Wales,1740.9248264592754
Slovenia,1738.6367238270334
Tunisia,1738.1358875803228
Iraq,1737.819898754106
German DR,1731.9753002019718
Slovakia,1731.5395386364532
New Zealand,1730.9257623715223
Cameroon,1723.6732384542286
Bolivia,1715.520626084649
Isle of Man,1709.1175302966094
Mali,1707.9076252209877
Georgia,1705.6542931186973
Honduras,1699.6725898626605
Haiti,1697.4211229194236
Romania,1697.0296913614538
Saudi Arabia,1691.5080526656018
Israel,1689.9577138350423
Northern Cyprus,1689.4455689980741
Occitania,1686.7965894959327
Padania,1686.2493041688329
Albania,1674.0553598553934
United Arab Emirates,1666.453278720369
Northern Ireland,1664.388051781908
South Africa,1662.1011138519289
Isle of Wight,1660.0788352201648
Catalonia,1655.1899093971458
Cape Verde,1653.1237493098804
Burkina Faso,1651.5451269904163
Jamaica,1651.46480198823
Bosnia and Herzegovina,1649.130640935824
North Macedonia,1647.6534766799673
Iraqi Kurdistan,1645.288646947123
Guatemala,1640.480875798869
Ynys Môn,1639.7824035075596
Iceland,1636.2823355790454
Abkhazia,1628.1688163422052
Ghana,1624.3032701731775
Finland,1614.1007115166983
Syria,1607.7883792013938
Kárpátalja,1606.7571384838789
Curaçao,1601.0827571438758
Kernow,1595.6177488426695
Andalusia,1592.5699314434437
Rhodes,1591.3696365125597
County of Nice,1591.0146494413289
New Caledonia,1589.7735306666577
Angola,1588.6351937182708
Palestine,1588.4827512757452
Tamil Eelam,1586.8358844149873
Panjab,1585.681558583387
Belarus,1584.8365042212708
Suriname,1582.9531769480893
Réunion,1581.2401180174263
Guinea,1577.7282444303025
Oman,1573.847432464363
Ellan Vannin,1569.811837457846
