team,elo,win_group,R32,R16,QF,SF,final,champion,n_sims
Spain,2171,81.67,99.52,83.19,66.70,57.68,45.38,32.69,20000
Argentina,2113,81.86,99.12,73.19,62.17,46.94,33.87,19.88,20000
France,2063,64.17,97.52,80.52,60.15,42.34,21.68,11.68,20000
England,2042,63.99,97.80,75.25,49.14,32.90,17.89,8.63,20000
Colombia,1998,51.56,96.71,67.67,38.88,20.38,11.09,4.63,20000
Portugal,1976,44.56,96.05,62.50,33.30,16.61,8.55,3.42,20000
Brazil,1979,66.92,97.58,64.73,39.25,20.44,8.27,3.29,20000
Netherlands,1959,56.35,94.14,60.70,37.97,18.19,6.76,2.54,20000
Mexico,1835,68.38,96.08,65.41,30.28,14.16,4.83,1.63,20000
Croatia,1933,31.02,92.22,51.92,23.42,12.09,4.95,1.53,20000
Ecuador,1933,48.05,94.55,58.43,27.34,13.39,4.44,1.47,20000
Norway,1922,21.88,86.25,52.45,28.29,12.49,4.11,1.28,20000
Canada,1810,48.31,95.44,67.37,31.79,11.87,4.00,1.18,20000
Switzerland,1897,44.23,94.64,64.17,29.17,10.55,3.42,1.06,20000
Germany,1910,40.70,92.92,53.20,23.95,10.65,3.44,1.02,20000
United States,1790,41.09,87.00,54.32,26.45,7.90,2.96,0.85,20000
Uruguay,1890,16.12,91.23,32.80,17.04,7.30,2.71,0.69,20000
Turkey,1880,38.27,85.50,51.20,23.54,6.78,2.45,0.59,20000
Japan,1879,30.32,85.25,40.80,19.12,7.12,2.02,0.54,20000
Senegal,1869,13.31,76.45,39.09,17.57,5.92,1.70,0.43,20000
Belgium,1849,51.26,92.45,53.52,21.42,5.08,1.75,0.30,20000
Morocco,1840,24.96,88.24,36.88,15.31,4.80,1.17,0.24,20000
Austria,1800,9.53,72.20,17.38,6.34,1.58,0.38,0.07,20000
Iran,1760,23.91,78.55,30.39,8.12,1.52,0.27,0.06,20000
Egypt,1750,21.50,75.84,27.41,6.75,1.09,0.18,0.04,20000
Paraguay,1770,12.63,57.12,22.48,6.53,1.31,0.33,0.04,20000
Ivory Coast,1760,10.09,66.23,20.86,5.92,1.25,0.21,0.04,20000
Algeria,1775,7.18,65.50,14.84,5.00,1.17,0.26,0.04,20000
South Korea,1745,13.97,66.91,24.90,6.63,1.25,0.20,0.03,20000
Sweden,1755,9.03,54.34,16.24,4.67,1.06,0.18,0.02,20000
Czechia,1720,10.58,59.45,19.71,4.56,0.76,0.11,0.01,20000
Australia,1730,8.01,44.11,14.06,3.23,0.48,0.07,0.01,20000
New Zealand,1590,3.34,27.14,4.19,0.52,0.06,0.02,0.01,20000
South Africa,1680,7.07,46.52,13.35,2.71,0.40,0.03,0.01,20000
Tunisia,1700,4.30,34.94,8.18,1.77,0.27,0.04,0.01,20000
Saudi Arabia,1640,1.53,39.49,5.86,1.13,0.15,0.03,0.01,20000
Uzbekistan,1660,2.24,36.15,5.42,0.85,0.12,0.01,0.01,20000
Panama,1700,3.06,41.38,7.97,1.58,0.30,0.04,0.01,20000
Bosnia and Herzegovina,1690,6.35,58.59,17.80,4.16,0.57,0.07,0.00,20000
Qatar,1545,1.11,18.57,2.85,0.28,0.01,0.00,0.00,20000
Haiti,1560,1.20,19.23,2.17,0.23,0.03,0.00,0.00,20000
Scotland,1710,6.92,61.41,14.34,3.38,0.64,0.10,0.00,20000
Curacao,1580,1.17,16.61,2.36,0.30,0.04,0.00,0.00,20000
Cape Verde,1585,0.67,25.16,3.17,0.47,0.04,0.00,0.00,20000
Iraq,1610,0.65,12.57,2.08,0.28,0.02,0.00,0.00,20000
Jordan,1640,1.43,25.95,3.53,0.72,0.07,0.01,0.00,20000
DR Congo,1640,1.64,30.26,4.34,0.71,0.07,0.01,0.00,20000
Ghana,1660,1.93,29.09,4.81,0.90,0.16,0.01,0.00,20000
